original_file,original_path,visual_description,suggested_section,suggested_logical_name,duplicate,notes
0c1a64d52fc9b89531b0553dbea057c4.png,图片/0c1a64d52fc9b89531b0553dbea057c4.png,Person reading an open book illustration,ai,readingAssistantIcon,no,90x90 PNG; generic legacy 3D icon
1-002.png,图片/1-002.png,Red home outline icon,shared,legacyHomeIcon,no,81x81 PNG
1cad0ab0e0d05c866939422fcc71ba31.png,图片/1cad0ab0e0d05c866939422fcc71ba31.png,Xiaohai Fairy Tales purple castle and panda banner,home,xiaohaiFairyTalesBanner,no,750x400 PNG
2-001.png,图片/2-001.png,Four-square grid outline icon,shared,legacyGridIcon,no,81x81 PNG
218072eece4ccaf07aba0f33e97808dc.jpg,图片/218072eece4ccaf07aba0f33e97808dc.jpg,Children's book copyright promotion with panda and opera character,stories,childrensBookCopyrightPromotion,no,3413x1920 JPEG; contains promotional price text
2e579b3810f38112a5f904f4b3f8ac5f.png.jpeg,图片/2e579b3810f38112a5f904f4b3f8ac5f.png.jpeg,Parent-child picture-book playground illustration,stories,parentChildPictureBookPlayground,no,1920x1280 JPEG
3-001.png,图片/3-001.png,Shopping cart outline icon,shop,legacyShoppingCartIcon,no,81x81 PNG
381e82c78149335860b376ed0170ebbd.png,图片/381e82c78149335860b376ed0170ebbd.png,Blue children's English creative course promotion,stories,englishCreativeCourseBlue,no,1724x1238 PNG; contains 990/3次 promotional text
3939cc01762a13ccd07eb8e462681c75.jpg,图片/3939cc01762a13ccd07eb8e462681c75.jpg,Child reading picture books beside teddy bear,home,parentChildReadingPhoto,no,2496x1664 JPEG
3c0d665b10ed592b74b776074fa97fdf.jpg,图片/3c0d665b10ed592b74b776074fa97fdf.jpg,Pew Pew Tiger and his magic puffs book cover,shop,pewPewTigerCoverOriginal,no,1960x2140 JPEG; original larger source
3e91ab189e5a4bec668ac47be0cb26fd.jpg,图片/3e91ab189e5a4bec668ac47be0cb26fd.jpg,Electronic author plan promotion with panda artwork,ai,electronicAuthorPlanPromotion,no,3413x1920 JPEG; contains ¥1288 promotional text
3ff22ea02e4c341b3600591c9fe2fecf.png,图片/3ff22ea02e4c341b3600591c9fe2fecf.png,Clipboard checklist illustration,ai,creationChecklistIcon,no,90x90 PNG; generic legacy 3D icon
4-001.png,图片/4-001.png,User profile outline icon,me,legacyUserProfileIcon,no,81x81 PNG
